term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
client,15,téléphone,15,"sac à main",donc,client,15,"sac à main"
divorce,15,téléphone,15,"sac à main",donc,divorce,15,"sac à main"
communication,15,téléphone,15,train,donc,communication,15,train
fil,15,téléphone,15,train,donc,fil,15,train
ligne,15,téléphone,15,train,donc,ligne,15,train
bis,15,téléphone,15,train,donc,bis,15,train
client,15,téléphone,15,train,donc,client,15,train
divorce,15,téléphone,15,train,donc,divorce,15,train
communication,15,téléphone,15,préfecture,donc,communication,15,préfecture
fil,15,téléphone,15,préfecture,donc,fil,15,préfecture
ligne,15,téléphone,15,préfecture,donc,ligne,15,préfecture
bis,15,téléphone,15,préfecture,donc,bis,15,préfecture
client,15,téléphone,15,préfecture,donc,client,15,préfecture
divorce,15,téléphone,15,préfecture,donc,divorce,15,préfecture
communication,15,téléphone,15,hôpital,donc,communication,15,hôpital
fil,15,téléphone,15,hôpital,donc,fil,15,hôpital
ligne,15,téléphone,15,hôpital,donc,ligne,15,hôpital
bis,15,téléphone,15,hôpital,donc,bis,15,hôpital
client,15,téléphone,15,hôpital,donc,client,15,hôpital
divorce,15,téléphone,15,hôpital,donc,divorce,15,hôpital
communication,15,téléphone,15,étagère,donc,communication,15,étagère
fil,15,téléphone,15,étagère,donc,fil,15,étagère
ligne,15,téléphone,15,étagère,donc,ligne,15,étagère
bis,15,téléphone,15,étagère,donc,bis,15,étagère
client,15,téléphone,15,étagère,donc,client,15,étagère
divorce,15,téléphone,15,étagère,donc,divorce,15,étagère
communication,15,téléphone,15,hosto,donc,communication,15,hosto
fil,15,téléphone,15,hosto,donc,fil,15,hosto
ligne,15,téléphone,15,hosto,donc,ligne,15,hosto
bis,15,téléphone,15,hosto,donc,bis,15,hosto
client,15,téléphone,15,hosto,donc,client,15,hosto
divorce,15,téléphone,15,hosto,donc,divorce,15,hosto
communication,15,téléphone,15,main,donc,communication,15,main
fil,15,téléphone,15,main,donc,fil,15,main
ligne,15,téléphone,15,main,donc,ligne,15,main
bis,15,téléphone,15,main,donc,bis,15,main
client,15,téléphone,15,main,donc,client,15,main
divorce,15,téléphone,15,main,donc,divorce,15,main
communication,15,téléphone,15,"cabine téléphonique",donc,communication,15,"cabine téléphonique"
fil,15,téléphone,15,"cabine téléphonique",donc,fil,15,"cabine téléphonique"
ligne,15,téléphone,15,"cabine téléphonique",donc,ligne,15,"cabine téléphonique"
bis,15,téléphone,15,"cabine téléphonique",donc,bis,15,"cabine téléphonique"
client,15,téléphone,15,"cabine téléphonique",donc,client,15,"cabine téléphonique"
divorce,15,téléphone,15,"cabine téléphonique",donc,divorce,15,"cabine téléphonique"
communication,15,téléphone,15,"bureau de poste",donc,communication,15,"bureau de poste"
fil,15,téléphone,15,"bureau de poste",donc,fil,15,"bureau de poste"
ligne,15,téléphone,15,"bureau de poste",donc,ligne,15,"bureau de poste"
bis,15,téléphone,15,"bureau de poste",donc,bis,15,"bureau de poste"
client,15,téléphone,15,"bureau de poste",donc,client,15,"bureau de poste"
divorce,15,téléphone,15,"bureau de poste",donc,divorce,15,"bureau de poste"
communication,15,téléphone,15,standard,donc,communication,15,standard
fil,15,téléphone,15,standard,donc,fil,15,standard
ligne,15,téléphone,15,standard,donc,ligne,15,standard
bis,15,téléphone,15,standard,donc,bis,15,standard
client,15,téléphone,15,standard,donc,client,15,standard
divorce,15,téléphone,15,standard,donc,divorce,15,standard
communication,15,téléphone,15,réception,donc,communication,15,réception
fil,15,téléphone,15,réception,donc,fil,15,réception
ligne,15,téléphone,15,réception,donc,ligne,15,réception
bis,15,téléphone,15,réception,donc,bis,15,réception
client,15,téléphone,15,réception,donc,client,15,réception
divorce,15,téléphone,15,réception,donc,divorce,15,réception
communication,15,téléphone,15,mur,donc,communication,15,mur
fil,15,téléphone,15,mur,donc,fil,15,mur
ligne,15,téléphone,15,mur,donc,ligne,15,mur
bis,15,téléphone,15,mur,donc,bis,15,mur
client,15,téléphone,15,mur,donc,client,15,mur
divorce,15,téléphone,15,mur,donc,divorce,15,mur
communication,15,téléphone,15,hospital,donc,communication,15,hospital
fil,15,téléphone,15,hospital,donc,fil,15,hospital
ligne,15,téléphone,15,hospital,donc,ligne,15,hospital
bis,15,téléphone,15,hospital,donc,bis,15,hospital
client,15,téléphone,15,hospital,donc,client,15,hospital
divorce,15,téléphone,15,hospital,donc,divorce,15,hospital
communication,15,téléphone,15,"cuvette des toilettes",donc,communication,15,"cuvette des toilettes"
fil,15,téléphone,15,"cuvette des toilettes",donc,fil,15,"cuvette des toilettes"
ligne,15,téléphone,15,"cuvette des toilettes",donc,ligne,15,"cuvette des toilettes"
bis,15,téléphone,15,"cuvette des toilettes",donc,bis,15,"cuvette des toilettes"
client,15,téléphone,15,"cuvette des toilettes",donc,client,15,"cuvette des toilettes"
divorce,15,téléphone,15,"cuvette des toilettes",donc,divorce,15,"cuvette des toilettes"
communication,15,téléphone,15,=hospital=,donc,communication,15,=hospital=
fil,15,téléphone,15,=hospital=,donc,fil,15,=hospital=
ligne,15,téléphone,15,=hospital=,donc,ligne,15,=hospital=
bis,15,téléphone,15,=hospital=,donc,bis,15,=hospital=
client,15,téléphone,15,=hospital=,donc,client,15,=hospital=
