term_1,relation_type,term_2,relation_type,term_2,donc,term_1,relation_type,term_2
"faire jour",42,révolution,42,politique,donc,"faire jour",42,politique
"faire nuit",42,révolution,42,politique,donc,"faire nuit",42,politique
printemps,42,révolution,42,politique,donc,printemps,42,politique
démocratie,42,révolution,42,"ras le bol",donc,démocratie,42,"ras le bol"
changement,42,révolution,42,"ras le bol",donc,changement,42,"ras le bol"
"prisonnier politique",42,révolution,42,"ras le bol",donc,"prisonnier politique",42,"ras le bol"
"acte de violence",42,révolution,42,"ras le bol",donc,"acte de violence",42,"ras le bol"
chambardement,42,révolution,42,"ras le bol",donc,chambardement,42,"ras le bol"
"saison estivale",42,révolution,42,"ras le bol",donc,"saison estivale",42,"ras le bol"
"crise humanitaire",42,révolution,42,"ras le bol",donc,"crise humanitaire",42,"ras le bol"
délivrance,42,révolution,42,"ras le bol",donc,délivrance,42,"ras le bol"
abolition,42,révolution,42,"ras le bol",donc,abolition,42,"ras le bol"
"nouvelle politique économique",42,révolution,42,"ras le bol",donc,"nouvelle politique économique",42,"ras le bol"
NEP,42,révolution,42,"ras le bol",donc,NEP,42,"ras le bol"
"Nouvelle politique économique",42,révolution,42,"ras le bol",donc,"Nouvelle politique économique",42,"ras le bol"
"faire jour",42,révolution,42,"ras le bol",donc,"faire jour",42,"ras le bol"
"faire nuit",42,révolution,42,"ras le bol",donc,"faire nuit",42,"ras le bol"
printemps,42,révolution,42,"ras le bol",donc,printemps,42,"ras le bol"
démocratie,42,révolution,42,manquer,donc,démocratie,42,manquer
changement,42,révolution,42,manquer,donc,changement,42,manquer
"prisonnier politique",42,révolution,42,manquer,donc,"prisonnier politique",42,manquer
"acte de violence",42,révolution,42,manquer,donc,"acte de violence",42,manquer
chambardement,42,révolution,42,manquer,donc,chambardement,42,manquer
"saison estivale",42,révolution,42,manquer,donc,"saison estivale",42,manquer
"crise humanitaire",42,révolution,42,manquer,donc,"crise humanitaire",42,manquer
délivrance,42,révolution,42,manquer,donc,délivrance,42,manquer
abolition,42,révolution,42,manquer,donc,abolition,42,manquer
"nouvelle politique économique",42,révolution,42,manquer,donc,"nouvelle politique économique",42,manquer
NEP,42,révolution,42,manquer,donc,NEP,42,manquer
"Nouvelle politique économique",42,révolution,42,manquer,donc,"Nouvelle politique économique",42,manquer
"faire jour",42,révolution,42,manquer,donc,"faire jour",42,manquer
"faire nuit",42,révolution,42,manquer,donc,"faire nuit",42,manquer
printemps,42,révolution,42,manquer,donc,printemps,42,manquer
démocratie,42,révolution,42,"crise économique",donc,démocratie,42,"crise économique"
changement,42,révolution,42,"crise économique",donc,changement,42,"crise économique"
"prisonnier politique",42,révolution,42,"crise économique",donc,"prisonnier politique",42,"crise économique"
"acte de violence",42,révolution,42,"crise économique",donc,"acte de violence",42,"crise économique"
chambardement,42,révolution,42,"crise économique",donc,chambardement,42,"crise économique"
"saison estivale",42,révolution,42,"crise économique",donc,"saison estivale",42,"crise économique"
"crise humanitaire",42,révolution,42,"crise économique",donc,"crise humanitaire",42,"crise économique"
délivrance,42,révolution,42,"crise économique",donc,délivrance,42,"crise économique"
abolition,42,révolution,42,"crise économique",donc,abolition,42,"crise économique"
"nouvelle politique économique",42,révolution,42,"crise économique",donc,"nouvelle politique économique",42,"crise économique"
NEP,42,révolution,42,"crise économique",donc,NEP,42,"crise économique"
"Nouvelle politique économique",42,révolution,42,"crise économique",donc,"Nouvelle politique économique",42,"crise économique"
"faire jour",42,révolution,42,"crise économique",donc,"faire jour",42,"crise économique"
"faire nuit",42,révolution,42,"crise économique",donc,"faire nuit",42,"crise économique"
printemps,42,révolution,42,"crise économique",donc,printemps,42,"crise économique"
